0,2,0.8156,528,374,580,422
0,2,0.6364,505,336,534,360
0,2,0.4302,571,291,593,310
0,2,0.3230,715,277,743,306
1,2,0.6241,577,287,607,310
1,2,0.5468,785,388,854,426
1,2,0.5031,413,389,468,437
2,2,0.7112,408,391,464,441
2,2,0.6538,577,288,606,311
2,2,0.6110,783,386,851,424
3,2,0.6651,774,379,843,417
3,2,0.6574,576,290,604,312
3,2,0.6006,394,400,456,455
4,2,0.7217,380,408,444,465
4,2,0.6509,574,290,602,315
4,2,0.6149,771,373,826,407
4,2,0.5345,770,372,840,412
5,2,0.7127,573,288,602,315
5,2,0.6528,377,410,442,469
5,2,0.5424,769,371,826,403
6,2,0.7741,361,420,434,481
6,2,0.6840,571,290,600,317
6,2,0.5543,768,366,816,398
7,2,0.7705,353,422,429,489
7,2,0.7269,571,290,599,318
7,2,0.5602,764,363,814,394
8,2,0.7388,340,432,419,501
8,2,0.6927,570,291,598,318
8,2,0.5468,760,358,808,389
9,2,0.7663,333,436,412,508
9,2,0.6704,571,291,598,317
9,2,0.6262,760,358,806,387
10,2,0.8191,317,447,402,523
10,2,0.6737,753,351,803,385
10,2,0.6735,566,289,596,320
11,2,0.7248,307,450,394,532
11,2,0.7047,753,349,800,382
11,2,0.4767,565,289,596,321
11,2,0.3187,560,299,595,322
12,2,0.7614,287,464,382,550
12,2,0.7389,753,345,796,375
12,2,0.4148,559,301,593,323
12,2,0.3650,564,289,595,322
13,2,0.8312,275,469,375,560
13,2,0.7147,752,343,790,373
13,2,0.4208,559,302,591,324
13,2,0.3843,569,288,593,322
14,2,0.6933,748,343,788,368
14,2,0.5734,251,484,357,578
14,2,0.5271,556,306,587,325
14,2,0.4306,251,484,403,582
14,2,0.4037,568,290,592,319
14,2,0.3108,746,342,796,371
15,2,0.8202,237,492,350,592
15,2,0.6725,747,342,790,367
15,2,0.4976,556,307,585,326
15,2,0.2751,570,289,591,309
16,2,0.8437,206,512,329,619
16,2,0.6751,742,338,783,363
16,2,0.4951,554,308,582,327
16,2,0.3397,567,290,591,312
17,2,0.8535,190,520,318,632
17,2,0.6366,742,336,784,361
17,2,0.3752,554,310,580,328
17,2,0.3282,570,288,591,308
18,2,0.8682,152,543,294,667
18,2,0.5374,740,334,781,359
19,2,0.8823,130,552,282,693
19,2,0.5266,740,333,777,358
20,2,0.8711,80,573,250,718
20,2,0.6120,739,328,771,354
20,2,0.2969,567,289,590,309
21,2,0.7221,54,575,235,719
21,2,0.6354,737,327,770,352
22,2,0.7449,10,630,195,718
22,2,0.6151,734,326,770,349
23,2,0.6893,736,324,767,346
23,2,0.6875,1,652,171,717
23,2,0.2819,560,288,587,315
24,2,0.7223,733,320,762,343
24,2,0.4447,536,322,568,341
25,2,0.7300,732,319,762,342
25,2,0.3913,534,322,566,341
25,2,0.2985,1065,698,1228,720
26,2,0.8128,1022,650,1209,717
26,2,0.6985,730,319,761,340
26,2,0.6009,527,322,564,345
26,2,0.2789,556,292,580,317
27,2,0.7857,1004,629,1199,718
27,2,0.6191,730,319,761,339
27,2,0.6127,528,322,562,344
27,2,0.2825,555,292,579,318
28,2,0.7464,974,593,1138,708
28,2,0.6356,526,322,558,350
28,2,0.5567,727,316,760,338
28,2,0.4347,554,293,579,320
28,2,0.3421,975,594,1200,714
29,2,0.8257,959,577,1113,684
29,2,0.6538,523,323,556,351
29,2,0.5059,727,314,760,337
29,2,0.3173,552,292,578,321
30,2,0.8272,936,550,1074,644
30,2,0.7192,727,311,758,334
30,2,0.6661,520,327,554,352
30,2,0.3518,551,291,577,321
31,2,0.8261,924,537,1055,630
31,2,0.7312,727,309,758,333
31,2,0.6273,520,327,553,352
31,2,0.4776,548,292,577,321
32,2,0.8556,905,516,1023,602
32,2,0.6477,727,309,754,331
32,2,0.4784,513,330,548,356
32,2,0.4718,542,294,575,324
33,2,0.8481,896,505,1009,584
33,2,0.6708,512,330,547,358
33,2,0.5895,727,309,752,329
33,2,0.4463,542,295,575,325
34,2,0.7842,881,487,984,564
34,2,0.6892,509,333,546,360
34,2,0.5211,726,307,751,328
34,2,0.4791,541,297,573,325
35,2,0.7358,873,477,972,553
35,2,0.6810,507,335,543,363
35,2,0.5415,724,307,750,327
35,2,0.4730,541,300,572,324
35,2,0.2607,543,296,575,327
36,2,0.7496,860,465,951,532
36,2,0.6517,503,340,537,366
36,2,0.4719,540,303,570,326
36,2,0.4435,723,308,750,326
36,2,0.3932,504,336,549,368
37,2,0.7813,852,458,942,521
37,2,0.6192,499,341,538,369
37,2,0.5886,539,302,572,328
37,2,0.4670,721,306,751,325
38,2,0.6971,844,446,924,506
38,2,0.6628,495,345,536,372
38,2,0.5114,536,305,570,331
38,2,0.3326,720,305,748,324
39,2,0.6808,492,344,529,374
39,2,0.6352,838,442,917,500
39,2,0.5202,535,307,572,332
39,2,0.3437,720,305,747,324
40,2,0.7727,489,349,525,379
40,2,0.7375,829,431,901,486
40,2,0.4747,532,304,565,334
40,2,0.3139,490,349,541,379
40,2,0.3095,717,304,745,322
41,2,0.7739,485,351,523,381
41,2,0.7333,825,426,896,479
41,2,0.5509,531,305,563,334
41,2,0.4763,488,350,534,381
41,2,0.2508,532,308,582,335
42,2,0.7454,820,419,885,467
42,2,0.6985,479,353,521,384
42,2,0.5668,528,307,562,336
42,2,0.2749,817,419,864,457
42,2,0.2516,821,418,910,468
43,2,0.7161,811,414,878,459
43,2,0.6678,476,354,520,386
43,2,0.5365,527,306,560,337
44,2,0.6949,806,406,868,450
44,2,0.6097,473,357,513,390
44,2,0.5355,525,313,558,339
45,2,0.6991,469,359,510,392
45,2,0.6695,804,404,867,446
